,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Submission,1,4:48,L,Joseph Benavidez,0,18 of 28,64%,22 of 33,0 of 0,---,0,0,0:00,8 of 15,5 of 7,5 of 6,18 of 28,0 of 0,0 of 0,W,Deiveson Figueiredo,2,35 of 40,87%,40 of 45,0 of 0,---,4,0,2:23,31 of 36,4 of 4,0 of 0,12 of 16,0 of 0,23 of 24
1,KO/TKO,2,6:54,L,Joseph Benavidez,0,46 of 94,48%,46 of 94,0 of 2,0%,0,0,0:10,28 of 63,8 of 13,10 of 18,36 of 78,10 of 16,0 of 0,W,Deiveson Figueiredo,1,25 of 49,51%,25 of 49,1 of 1,100%,1,0,0:27,18 of 39,7 of 10,0 of 0,20 of 44,2 of 2,3 of 3
2,KO/TKO,2,9:47,W,Joseph Benavidez,1,50 of 115,43%,72 of 138,0 of 0,---,0,0,2:03,27 of 77,14 of 23,9 of 15,44 of 107,3 of 4,3 of 4,L,Jussier Formiga,0,15 of 48,31%,15 of 48,1 of 3,33%,0,0,0:26,15 of 47,0 of 1,0 of 0,15 of 48,0 of 0,0 of 0
3,Decision - Unanimous,3,15:00,W,Joseph Benavidez,1,21 of 50,42%,37 of 72,7 of 12,58%,0,2,6:50,7 of 30,6 of 8,8 of 12,20 of 44,0 of 2,1 of 4,L,Dustin Ortiz,0,49 of 87,56%,93 of 136,3 of 8,37%,0,1,3:03,21 of 54,28 of 32,0 of 1,20 of 55,22 of 23,7 of 9
4,KO/TKO,1,4:19,W,Joseph Benavidez,0,35 of 72,48%,42 of 79,1 of 2,50%,0,0,1:15,20 of 48,11 of 17,4 of 7,19 of 50,1 of 2,15 of 20,L,Alex Perez,0,14 of 32,43%,14 of 32,1 of 1,100%,0,0,0:03,5 of 21,7 of 9,2 of 2,9 of 27,5 of 5,0 of 0
5,Decision - Split,3,15:00,L,Joseph Benavidez,0,59 of 186,31%,86 of 216,2 of 14,14%,0,0,4:24,28 of 128,14 of 33,17 of 25,57 of 180,2 of 6,0 of 0,W,Sergio Pettis,0,74 of 168,44%,87 of 183,0 of 0,---,0,0,0:00,69 of 155,5 of 13,0 of 0,64 of 158,9 of 9,1 of 1
6,Decision - Split,3,15:00,W,Joseph Benavidez,0,69 of 232,29%,69 of 232,0 of 0,---,0,0,0:01,39 of 172,19 of 35,11 of 25,68 of 228,1 of 4,0 of 0,L,Henry Cejudo,1,68 of 195,34%,70 of 197,1 of 7,14%,0,0,0:13,29 of 143,29 of 39,10 of 13,59 of 176,9 of 19,0 of 0
7,Decision - Unanimous,3,15:00,W,Joseph Benavidez,0,66 of 197,33%,82 of 214,0 of 0,---,0,0,0:35,45 of 165,19 of 30,2 of 2,46 of 167,19 of 29,1 of 1,L,Zach Makovsky,0,40 of 96,41%,43 of 99,4 of 19,21%,0,0,1:19,24 of 79,4 of 5,12 of 12,33 of 86,7 of 10,0 of 0
8,Decision - Unanimous,3,15:00,W,Joseph Benavidez,0,48 of 146,32%,48 of 146,0 of 1,0%,0,0,0:00,32 of 111,10 of 26,6 of 9,44 of 139,4 of 7,0 of 0,L,Ali Bagautinov,0,31 of 121,25%,31 of 121,0 of 5,0%,0,0,0:19,22 of 103,5 of 12,4 of 6,30 of 117,1 of 4,0 of 0
9,Decision - Unanimous,3,15:00,W,Joseph Benavidez,0,63 of 109,57%,116 of 168,4 of 6,66%,0,0,9:10,35 of 73,12 of 18,16 of 18,26 of 61,15 of 20,22 of 28,L,John Moraga,0,42 of 75,56%,55 of 92,0 of 3,0%,0,0,0:41,14 of 42,21 of 26,7 of 7,21 of 51,17 of 19,4 of 5
10,Decision - Unanimous,3,15:00,W,Joseph Benavidez,0,94 of 199,47%,96 of 201,2 of 3,66%,0,0,2:27,60 of 153,17 of 27,17 of 19,73 of 173,19 of 22,2 of 4,L,Dustin Ortiz,0,37 of 149,24%,59 of 171,2 of 9,22%,0,0,0:44,30 of 132,7 of 16,0 of 1,31 of 129,6 of 19,0 of 1
11,Submission,1,4:08,W,Joseph Benavidez,0,9 of 23,39%,14 of 28,0 of 0,---,1,1,1:33,4 of 16,4 of 6,1 of 1,9 of 22,0 of 1,0 of 0,L,Tim Elliott,0,16 of 21,76%,27 of 35,3 of 3,100%,0,0,1:16,10 of 15,3 of 3,3 of 3,13 of 17,3 of 4,0 of 0
12,KO/TKO,1,2:08,L,Joseph Benavidez,0,4 of 27,14%,4 of 27,0 of 0,---,0,0,0:00,1 of 20,0 of 4,3 of 3,4 of 26,0 of 1,0 of 0,W,Demetrious Johnson,1,7 of 14,50%,9 of 16,0 of 1,0%,0,0,0:02,5 of 11,0 of 0,2 of 3,3 of 10,0 of 0,4 of 4
13,KO/TKO,1,3:07,W,Joseph Benavidez,1,20 of 52,38%,20 of 52,0 of 0,---,0,0,0:05,13 of 40,4 of 7,3 of 5,16 of 46,0 of 2,4 of 4,L,Jussier Formiga,0,6 of 18,33%,6 of 18,0 of 0,---,0,0,0:00,5 of 15,1 of 3,0 of 0,5 of 17,1 of 1,0 of 0
14,KO/TKO,2,9:50,W,Joseph Benavidez,2,57 of 153,37%,63 of 162,2 of 2,100%,0,0,1:51,35 of 126,8 of 10,14 of 17,49 of 130,2 of 3,6 of 20,L,Darren Uyenoyama,0,11 of 33,33%,11 of 33,0 of 2,0%,0,0,0:26,6 of 24,3 of 7,2 of 2,8 of 29,2 of 2,1 of 2
15,Decision - Unanimous,3,15:00,W,Joseph Benavidez,0,57 of 184,30%,62 of 189,0 of 1,0%,0,0,0:26,33 of 135,12 of 23,12 of 26,52 of 177,5 of 7,0 of 0,L,Ian McCall,0,40 of 113,35%,54 of 127,1 of 4,25%,0,0,1:29,18 of 70,13 of 24,9 of 19,30 of 94,8 of 16,2 of 3
16,Decision - Split,5,25:00,L,Joseph Benavidez,0,44 of 250,17%,53 of 259,0 of 7,0%,2,0,3:24,23 of 204,12 of 28,9 of 18,34 of 223,9 of 26,1 of 1,W,Demetrious Johnson,0,77 of 156,49%,96 of 177,5 of 10,50%,0,0,2:20,29 of 96,33 of 42,15 of 18,45 of 114,23 of 32,9 of 10
17,KO/TKO,2,5:11,W,Joseph Benavidez,1,18 of 50,36%,33 of 65,1 of 5,20%,1,0,2:51,8 of 29,6 of 10,4 of 11,12 of 42,2 of 2,4 of 6,L,Yasuhiro Urushitani,0,8 of 18,44%,12 of 22,0 of 0,---,0,0,0:00,5 of 13,2 of 2,1 of 3,8 of 18,0 of 0,0 of 0
18,Decision - Unanimous,3,15:00,W,Joseph Benavidez,0,66 of 144,45%,69 of 147,0 of 6,0%,0,0,0:09,28 of 76,16 of 29,22 of 39,55 of 133,10 of 10,1 of 1,L,Eddie Wineland,0,24 of 71,33%,25 of 72,0 of 1,0%,0,0,0:20,12 of 56,9 of 11,3 of 4,21 of 67,3 of 4,0 of 0
19,Decision - Unanimous,3,15:00,W,Joseph Benavidez,0,48 of 118,40%,70 of 147,5 of 17,29%,0,0,3:47,18 of 72,25 of 36,5 of 10,41 of 109,5 of 5,2 of 4,L,Ian Loveland,0,45 of 90,50%,50 of 98,0 of 1,0%,0,0,0:15,32 of 76,11 of 12,2 of 2,39 of 79,4 of 8,2 of 3
20,Submission,2,7:45,W,Joseph Benavidez,0,17 of 65,26%,23 of 71,0 of 1,0%,3,1,1:10,12 of 55,2 of 6,3 of 4,15 of 59,0 of 1,2 of 5,L,Wagnney Fabiano,0,6 of 23,26%,6 of 23,0 of 0,---,0,0,1:10,3 of 18,2 of 3,1 of 2,6 of 23,0 of 0,0 of 0
21,Decision - Split,5,25:00,L,Joseph Benavidez,0,35 of 205,17%,46 of 218,0 of 11,0%,1,0,1:42,18 of 164,7 of 17,10 of 24,30 of 192,5 of 11,0 of 2,W,Dominick Cruz,0,58 of 188,30%,103 of 241,6 of 9,66%,0,0,5:54,27 of 151,24 of 29,7 of 8,41 of 161,12 of 18,5 of 9
22,Submission,2,7:57,W,Joseph Benavidez,0,15 of 39,38%,24 of 50,2 of 2,100%,2,0,2:51,8 of 27,1 of 1,6 of 11,11 of 28,0 of 0,4 of 11,L,Miguel Torres,0,17 of 41,41%,52 of 78,0 of 0,---,1,0,0:15,7 of 26,5 of 8,5 of 7,13 of 34,4 of 5,0 of 2
23,KO/TKO,1,1:35,W,Joseph Benavidez,1,7 of 21,33%,7 of 21,0 of 0,---,0,0,0:04,6 of 18,1 of 2,0 of 1,4 of 16,0 of 0,3 of 5,L,Rani Yahya,0,5 of 18,27%,5 of 18,0 of 0,---,0,0,0:00,3 of 15,0 of 1,2 of 2,5 of 18,0 of 0,0 of 0
24,Decision - Unanimous,3,15:00,L,Joseph Benavidez,0,31 of 124,25%,37 of 130,0 of 1,0%,1,0,1:17,15 of 100,9 of 17,7 of 7,27 of 113,4 of 11,0 of 0,W,Dominick Cruz,0,36 of 129,27%,51 of 146,6 of 9,66%,0,0,2:41,25 of 114,8 of 11,3 of 4,28 of 114,5 of 10,3 of 5
25,Decision - Unanimous,3,15:00,W,Joseph Benavidez,1,51 of 139,36%,83 of 180,2 of 4,50%,1,0,7:50,25 of 95,11 of 25,15 of 19,26 of 74,5 of 13,20 of 52,L,Jeff Curran,0,22 of 75,29%,38 of 100,1 of 2,50%,1,0,0:37,10 of 55,11 of 18,1 of 2,9 of 53,11 of 19,2 of 3
26,Decision - Unanimous,3,15:00,W,Joseph Benavidez,0,55 of 184,29%,68 of 200,1 of 2,50%,0,0,0:50,25 of 136,25 of 40,5 of 8,44 of 164,11 of 20,0 of 0,L,Danny Martinez,0,12 of 101,11%,12 of 101,1 of 5,20%,0,0,2:01,7 of 92,5 of 9,0 of 0,8 of 93,4 of 8,0 of 0
27,Submission,1,2:42,W,Joseph Benavidez,0,12 of 18,66%,14 of 21,2 of 2,100%,1,0,--,4 of 8,7 of 9,1 of 1,2 of 4,1 of 3,9 of 11,L,Junya Kudo,0,5 of 7,71%,5 of 7,0 of 0,---,0,0,--,1 of 3,2 of 2,2 of 2,3 of 5,2 of 2,0 of 0
28,Decision - Unanimous,3,15:00,W,Brandon Moreno,0,33 of 82,40%,94 of 147,0 of 2,0%,0,1,3:45,29 of 76,4 of 6,0 of 0,20 of 61,4 of 9,9 of 12,L,Jussier Formiga,0,15 of 32,46%,61 of 81,1 of 9,11%,1,1,4:13,9 of 24,4 of 5,2 of 3,12 of 28,0 of 1,3 of 3
29,Decision - Unanimous,3,15:00,W,Brandon Moreno,0,91 of 276,32%,91 of 276,0 of 0,---,0,0,0:00,78 of 261,12 of 14,1 of 1,91 of 276,0 of 0,0 of 0,L,Kai Kara-France,0,82 of 231,35%,82 of 231,0 of 0,---,0,0,0:00,57 of 194,10 of 17,15 of 20,82 of 231,0 of 0,0 of 0
30,Decision - Split,3,15:00,D,Brandon Moreno,1,34 of 82,41%,70 of 120,1 of 1,100%,0,1,6:24,28 of 69,6 of 12,0 of 1,18 of 55,2 of 2,14 of 25,D,Askar Askarov,0,30 of 63,47%,53 of 90,4 of 11,36%,0,1,3:59,24 of 56,4 of 5,2 of 2,9 of 39,4 of 4,17 of 20
31,Decision - Unanimous,3,15:00,L,Brandon Moreno,0,45 of 133,33%,50 of 140,2 of 7,28%,0,0,0:16,32 of 113,4 of 5,9 of 15,43 of 126,2 of 7,0 of 0,W,Alexandre Pantoja,0,79 of 168,47%,96 of 187,0 of 0,---,0,0,1:12,58 of 133,7 of 17,14 of 18,69 of 154,3 of 6,7 of 8
32,Decision - Unanimous,5,25:00,L,Brandon Moreno,0,45 of 161,27%,70 of 193,4 of 8,50%,0,0,7:48,26 of 130,12 of 19,7 of 12,38 of 147,1 of 4,6 of 10,W,Sergio Pettis,0,76 of 235,32%,84 of 244,0 of 1,0%,0,0,0:13,55 of 203,11 of 17,10 of 15,72 of 230,2 of 2,2 of 3
33,Submission,2,9:06,W,Brandon Moreno,1,24 of 73,32%,34 of 86,0 of 0,---,2,1,1:42,14 of 60,5 of 7,5 of 6,12 of 54,5 of 6,7 of 13,L,Dustin Ortiz,0,16 of 60,26%,31 of 76,4 of 10,40%,0,1,4:47,3 of 41,2 of 5,11 of 14,10 of 50,4 of 8,2 of 2
34,Decision - Split,3,15:00,W,Brandon Moreno,0,54 of 143,37%,78 of 167,5 of 13,38%,0,0,4:50,35 of 120,6 of 10,13 of 13,42 of 123,8 of 15,4 of 5,L,Ryan Benoit,1,23 of 93,24%,25 of 95,0 of 1,0%,0,0,0:16,21 of 80,2 of 10,0 of 3,20 of 85,2 of 6,1 of 2
35,Submission,1,2:23,W,Brandon Moreno,0,8 of 11,72%,21 of 24,1 of 1,100%,2,0,1:37,7 of 10,1 of 1,0 of 0,3 of 4,1 of 1,4 of 6,L,Louis Smolka,0,7 of 13,53%,17 of 23,1 of 1,100%,0,0,0:17,6 of 12,1 of 1,0 of 0,2 of 8,0 of 0,5 of 5
36,Decision - Unanimous,3,15:00,W,Askar Askarov,0,41 of 63,65%,44 of 66,2 of 15,13%,0,1,5:11,31 of 53,1 of 1,9 of 9,34 of 54,5 of 6,2 of 3,L,Alexandre Pantoja,0,32 of 62,51%,40 of 71,1 of 2,50%,0,0,2:17,17 of 40,12 of 19,3 of 3,30 of 60,1 of 1,1 of 1
37,Decision - Unanimous,3,15:00,W,Askar Askarov,0,73 of 150,48%,96 of 173,0 of 7,0%,0,0,4:05,57 of 131,4 of 5,12 of 14,57 of 127,8 of 9,8 of 14,L,Tim Elliott,0,47 of 111,42%,86 of 157,3 of 11,27%,0,0,2:02,15 of 67,18 of 24,14 of 20,35 of 90,12 of 21,0 of 0
38,Decision - Split,3,15:00,D,Askar Askarov,0,30 of 63,47%,53 of 90,4 of 11,36%,0,1,3:59,24 of 56,4 of 5,2 of 2,9 of 39,4 of 4,17 of 20,D,Brandon Moreno,1,34 of 82,41%,70 of 120,1 of 1,100%,0,1,6:24,28 of 69,6 of 12,0 of 1,18 of 55,2 of 2,14 of 25
39,KO/TKO,1,4:06,W,Alex Perez,2,29 of 61,47%,29 of 61,0 of 0,---,0,0,0:04,12 of 39,2 of 4,15 of 18,24 of 55,5 of 6,0 of 0,L,Jussier Formiga,0,18 of 41,43%,18 of 41,0 of 0,---,0,0,0:00,17 of 38,0 of 2,1 of 1,17 of 40,1 of 1,0 of 0
40,Submission,1,2:33,W,Alex Perez,0,2 of 9,22%,16 of 23,1 of 1,100%,1,0,1:33,0 of 6,0 of 1,2 of 2,2 of 9,0 of 0,0 of 0,L,Jordan Espinosa,0,2 of 13,15%,2 of 13,0 of 0,---,0,0,0:00,1 of 9,0 of 0,1 of 4,2 of 13,0 of 0,0 of 0
41,Decision - Unanimous,3,15:00,W,Alex Perez,0,60 of 110,54%,150 of 220,2 of 4,50%,0,0,8:14,37 of 74,2 of 5,21 of 31,26 of 64,1 of 2,33 of 44,L,Mark De La Rosa,0,26 of 84,30%,74 of 140,0 of 0,---,0,0,0:00,19 of 73,2 of 2,5 of 9,15 of 70,2 of 2,9 of 12
42,KO/TKO,1,4:19,L,Alex Perez,0,14 of 32,43%,14 of 32,1 of 1,100%,0,0,0:03,5 of 21,7 of 9,2 of 2,9 of 27,5 of 5,0 of 0,W,Joseph Benavidez,0,35 of 72,48%,42 of 79,1 of 2,50%,0,0,1:15,20 of 48,11 of 17,4 of 7,19 of 50,1 of 2,15 of 20
43,KO/TKO,1,3:46,W,Alex Perez,1,84 of 162,51%,88 of 166,0 of 3,0%,0,0,0:03,67 of 139,11 of 16,6 of 7,64 of 133,20 of 29,0 of 0,L,Jose Torres,0,29 of 76,38%,30 of 77,0 of 0,---,0,0,0:00,22 of 67,7 of 9,0 of 0,25 of 71,4 of 5,0 of 0
44,Decision - Unanimous,3,15:00,W,Alex Perez,0,29 of 82,35%,67 of 123,5 of 9,55%,0,0,6:58,15 of 64,3 of 6,11 of 12,24 of 73,1 of 4,4 of 5,L,Eric Shelton,0,41 of 109,37%,72 of 140,0 of 2,0%,0,0,0:02,30 of 98,9 of 9,2 of 2,31 of 98,1 of 2,9 of 9
45,Submission,2,6:54,W,Alex Perez,0,24 of 40,60%,42 of 62,2 of 4,50%,3,0,3:38,13 of 25,5 of 8,6 of 7,9 of 21,7 of 8,8 of 11,L,Carls John De Tomas,0,8 of 28,28%,9 of 29,0 of 2,0%,0,0,0:55,7 of 27,0 of 0,1 of 1,7 of 27,1 of 1,0 of 0
46,Submission,1,2:54,W,Alex Perez,0,13 of 39,33%,15 of 41,0 of 0,---,1,0,--,8 of 32,2 of 2,3 of 5,9 of 34,4 of 5,0 of 0,L,Kevin Gray,0,10 of 16,62%,10 of 16,0 of 2,0%,0,0,--,3 of 9,3 of 3,4 of 4,10 of 16,0 of 0,0 of 0
47,Decision - Unanimous,3,15:00,L,Alexandre Pantoja,0,32 of 62,51%,40 of 71,1 of 2,50%,0,0,2:17,17 of 40,12 of 19,3 of 3,30 of 60,1 of 1,1 of 1,W,Askar Askarov,0,41 of 63,65%,44 of 66,2 of 15,13%,0,1,5:11,31 of 53,1 of 1,9 of 9,34 of 54,5 of 6,2 of 3
48,KO/TKO,1,4:17,W,Alexandre Pantoja,1,34 of 62,54%,36 of 64,1 of 1,100%,0,0,1:14,32 of 60,0 of 0,2 of 2,27 of 54,0 of 0,7 of 8,L,Matt Schnell,0,20 of 52,38%,35 of 68,0 of 1,0%,0,0,0:00,16 of 43,2 of 6,2 of 3,18 of 50,0 of 0,2 of 2
49,Decision - Unanimous,3,15:00,L,Alexandre Pantoja,0,61 of 151,40%,68 of 160,2 of 10,20%,0,0,1:14,41 of 122,9 of 14,11 of 15,48 of 131,13 of 19,0 of 1,W,Deiveson Figueiredo,1,67 of 113,59%,71 of 117,2 of 3,66%,0,0,1:52,53 of 98,12 of 13,2 of 2,46 of 78,11 of 19,10 of 16
50,KO/TKO,1,2:58,W,Alexandre Pantoja,1,23 of 33,69%,26 of 36,0 of 0,---,0,0,0:14,19 of 28,4 of 5,0 of 0,7 of 12,0 of 0,16 of 21,L,Wilson Reis,0,1 of 6,16%,2 of 7,1 of 4,25%,0,0,0:46,0 of 4,0 of 1,1 of 1,1 of 6,0 of 0,0 of 0
51,Submission,1,2:18,W,Alexandre Pantoja,0,4 of 7,57%,7 of 10,0 of 1,0%,2,1,0:38,3 of 5,1 of 1,0 of 1,4 of 7,0 of 0,0 of 0,L,Yuta Sasaki,0,7 of 11,63%,8 of 12,0 of 0,---,0,0,1:24,6 of 10,1 of 1,0 of 0,3 of 6,0 of 0,4 of 5
52,Decision - Unanimous,3,15:00,W,Alexandre Pantoja,0,79 of 168,47%,96 of 187,0 of 0,---,0,0,1:12,58 of 133,7 of 17,14 of 18,69 of 154,3 of 6,7 of 8,L,Brandon Moreno,0,45 of 133,33%,50 of 140,2 of 7,28%,0,0,0:16,32 of 113,4 of 5,9 of 15,43 of 126,2 of 7,0 of 0
53,Decision - Unanimous,3,15:00,L,Alexandre Pantoja,0,19 of 49,38%,49 of 79,1 of 1,100%,2,2,7:18,13 of 41,4 of 5,2 of 3,15 of 44,1 of 2,3 of 3,W,Dustin Ortiz,0,36 of 80,45%,92 of 147,7 of 12,58%,0,2,4:50,19 of 59,8 of 10,9 of 11,21 of 60,6 of 8,9 of 12
54,Submission,3,12:31,W,Alexandre Pantoja,1,119 of 227,52%,131 of 239,1 of 1,100%,1,0,4:28,57 of 145,38 of 54,24 of 28,83 of 182,35 of 44,1 of 1,L,Neil Seery,0,82 of 183,44%,90 of 192,0 of 2,0%,0,0,0:04,72 of 170,7 of 9,3 of 4,68 of 160,12 of 19,2 of 4
55,Decision - Split,3,15:00,W,Alexandre Pantoja,0,37 of 99,37%,67 of 135,1 of 3,33%,2,0,3:50,27 of 82,6 of 10,4 of 7,32 of 92,3 of 4,2 of 3,L,Eric Shelton,0,32 of 93,34%,44 of 107,4 of 12,33%,0,0,2:51,31 of 90,1 of 3,0 of 0,29 of 86,0 of 3,3 of 4
56,Submission,2,5:48,W,Brandon Royval,2,39 of 71,54%,51 of 85,0 of 0,---,1,0,1:31,27 of 56,7 of 9,5 of 6,34 of 64,4 of 6,1 of 1,L,Kai Kara-France,1,22 of 38,57%,22 of 39,0 of 1,0%,0,0,1:31,12 of 28,1 of 1,9 of 9,21 of 35,1 of 3,0 of 0
57,Submission,2,8:18,W,Brandon Royval,0,16 of 33,48%,22 of 41,1 of 1,100%,2,1,2:04,9 of 26,4 of 4,3 of 3,12 of 29,1 of 1,3 of 3,L,Tim Elliott,0,17 of 32,53%,40 of 55,4 of 10,40%,0,1,4:01,6 of 18,3 of 5,8 of 9,11 of 24,3 of 5,3 of 3
58,KO/TKO,1,4:06,L,Jussier Formiga,0,18 of 41,43%,18 of 41,0 of 0,---,0,0,0:00,17 of 38,0 of 2,1 of 1,17 of 40,1 of 1,0 of 0,W,Alex Perez,2,29 of 61,47%,29 of 61,0 of 0,---,0,0,0:04,12 of 39,2 of 4,15 of 18,24 of 55,5 of 6,0 of 0
59,Decision - Unanimous,3,15:00,L,Jussier Formiga,0,15 of 32,46%,61 of 81,1 of 9,11%,1,1,4:13,9 of 24,4 of 5,2 of 3,12 of 28,0 of 1,3 of 3,W,Brandon Moreno,0,33 of 82,40%,94 of 147,0 of 2,0%,0,1,3:45,29 of 76,4 of 6,0 of 0,20 of 61,4 of 9,9 of 12
60,KO/TKO,2,9:47,L,Jussier Formiga,0,15 of 48,31%,15 of 48,1 of 3,33%,0,0,0:26,15 of 47,0 of 1,0 of 0,15 of 48,0 of 0,0 of 0,W,Joseph Benavidez,1,50 of 115,43%,72 of 138,0 of 0,---,0,0,2:03,27 of 77,14 of 23,9 of 15,44 of 107,3 of 4,3 of 4
61,Decision - Unanimous,3,15:00,W,Jussier Formiga,0,26 of 51,50%,51 of 78,3 of 5,60%,0,0,6:41,19 of 43,5 of 6,2 of 2,15 of 35,2 of 2,9 of 14,L,Deiveson Figueiredo,0,14 of 50,28%,41 of 80,0 of 2,0%,0,0,0:11,6 of 36,7 of 11,1 of 3,9 of 45,3 of 3,2 of 2
62,Decision - Unanimous,3,15:00,W,Jussier Formiga,0,18 of 37,48%,90 of 123,2 of 5,40%,0,0,7:26,17 of 36,0 of 0,1 of 1,16 of 34,0 of 1,2 of 2,L,Sergio Pettis,0,30 of 97,30%,91 of 161,0 of 0,---,0,0,0:00,23 of 86,3 of 5,4 of 6,30 of 93,0 of 0,0 of 4
63,Submission,3,11:43,W,Jussier Formiga,1,27 of 49,55%,50 of 72,2 of 4,50%,1,0,4:03,24 of 44,2 of 4,1 of 1,12 of 29,1 of 5,14 of 15,L,Ben Nguyen,0,21 of 65,32%,37 of 82,0 of 0,---,0,0,0:55,8 of 46,10 of 15,3 of 4,7 of 49,13 of 15,1 of 1
64,Submission,1,4:30,W,Jussier Formiga,0,9 of 22,40%,12 of 27,1 of 1,100%,2,0,1:33,6 of 18,1 of 1,2 of 3,9 of 22,0 of 0,0 of 0,L,Yuta Sasaki,0,16 of 32,50%,36 of 54,0 of 0,---,0,0,0:00,6 of 16,9 of 13,1 of 3,14 of 30,2 of 2,0 of 0
65,Decision - Unanimous,3,15:00,L,Jussier Formiga,0,30 of 62,48%,44 of 77,0 of 3,0%,0,0,3:25,14 of 44,8 of 9,8 of 9,23 of 53,7 of 8,0 of 1,W,Ray Borg,0,36 of 88,40%,53 of 105,0 of 6,0%,0,1,4:22,22 of 68,12 of 17,2 of 3,7 of 50,14 of 21,15 of 17
66,Decision - Unanimous,3,15:00,W,Jussier Formiga,0,8 of 34,23%,55 of 90,1 of 3,33%,2,0,9:09,2 of 27,2 of 3,4 of 4,6 of 32,1 of 1,1 of 1,L,Dustin Ortiz,0,13 of 65,20%,119 of 188,0 of 2,0%,0,2,2:57,7 of 53,4 of 8,2 of 4,8 of 51,3 of 7,2 of 7
67,Decision - Split,3,15:00,L,Jussier Formiga,0,25 of 87,28%,39 of 102,0 of 3,0%,0,0,0:00,12 of 66,11 of 17,2 of 4,13 of 71,12 of 16,0 of 0,W,Henry Cejudo,0,43 of 110,39%,71 of 140,2 of 3,66%,0,0,1:16,11 of 63,30 of 39,2 of 8,14 of 69,29 of 41,0 of 0
68,Decision - Unanimous,3,15:00,W,Jussier Formiga,1,21 of 54,38%,36 of 71,4 of 5,80%,0,0,1:31,19 of 52,1 of 1,1 of 1,16 of 46,1 of 3,4 of 5,L,Wilson Reis,0,28 of 66,42%,45 of 87,0 of 9,0%,0,1,4:53,12 of 47,7 of 10,9 of 9,14 of 44,12 of 16,2 of 6
69,Decision - Unanimous,3,15:00,W,Jussier Formiga,0,11 of 28,39%,51 of 78,2 of 4,50%,0,0,4:42,10 of 26,1 of 2,0 of 0,5 of 18,2 of 2,4 of 8,L,Zach Makovsky,0,25 of 69,36%,59 of 107,1 of 4,25%,0,1,4:07,23 of 64,0 of 3,2 of 2,11 of 45,0 of 0,14 of 24
70,Submission,1,3:07,W,Jussier Formiga,0,9 of 23,39%,13 of 27,1 of 4,25%,1,0,0:45,7 of 20,2 of 3,0 of 0,6 of 19,2 of 2,1 of 2,L,Scott Jorgensen,0,6 of 24,25%,9 of 27,0 of 0,---,0,0,0:00,5 of 23,0 of 0,1 of 1,6 of 23,0 of 1,0 of 0
71,KO/TKO,1,3:07,L,Jussier Formiga,0,6 of 18,33%,6 of 18,0 of 0,---,0,0,0:00,5 of 15,1 of 3,0 of 0,5 of 17,1 of 1,0 of 0,W,Joseph Benavidez,1,20 of 52,38%,20 of 52,0 of 0,---,0,0,0:05,13 of 40,4 of 7,3 of 5,16 of 46,0 of 2,4 of 4
72,Decision - Unanimous,3,15:00,W,Jussier Formiga,0,10 of 26,38%,33 of 50,4 of 8,50%,0,0,8:50,5 of 20,1 of 2,4 of 4,5 of 20,0 of 0,5 of 6,L,Chris Cariaso,0,26 of 90,28%,64 of 129,1 of 1,100%,1,0,1:21,15 of 69,11 of 20,0 of 1,6 of 58,11 of 13,9 of 19
73,KO/TKO,2,9:35,L,Jussier Formiga,0,9 of 37,24%,9 of 37,0 of 5,0%,0,0,0:00,8 of 36,1 of 1,0 of 0,9 of 37,0 of 0,0 of 0,W,John Dodson,2,33 of 112,29%,36 of 115,0 of 2,0%,0,0,0:18,20 of 93,8 of 14,5 of 5,23 of 102,0 of 0,10 of 10
74,Submission,2,5:48,L,Kai Kara-France,1,22 of 38,57%,22 of 39,0 of 1,0%,0,0,1:31,12 of 28,1 of 1,9 of 9,21 of 35,1 of 3,0 of 0,W,Brandon Royval,2,39 of 71,54%,51 of 85,0 of 0,---,1,0,1:31,27 of 56,7 of 9,5 of 6,34 of 64,4 of 6,1 of 1
75,Decision - Unanimous,3,15:00,W,Kai Kara-France,0,78 of 257,30%,78 of 257,0 of 4,0%,0,0,0:17,51 of 218,9 of 17,18 of 22,72 of 246,5 of 9,1 of 2,L,Tyson Nam,0,50 of 153,32%,52 of 155,0 of 4,0%,0,0,0:53,34 of 131,11 of 17,5 of 5,48 of 146,2 of 7,0 of 0
76,Decision - Unanimous,3,15:00,L,Kai Kara-France,0,82 of 231,35%,82 of 231,0 of 0,---,0,0,0:00,57 of 194,10 of 17,15 of 20,82 of 231,0 of 0,0 of 0,W,Brandon Moreno,0,91 of 276,32%,91 of 276,0 of 0,---,0,0,0:00,78 of 261,12 of 14,1 of 1,91 of 276,0 of 0,0 of 0
