,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
1801,Decision - Unanimous,3,15:00,W,Yan Xiaonan,0,96 of 211,45%,106 of 222,0 of 0,---,0,0,0:03,80 of 191,5 of 7,11 of 13,76 of 183,18 of 24,2 of 4,L,Kailin Curran,0,52 of 134,38%,139 of 233,2 of 6,33%,0,0,7:43,33 of 110,12 of 16,7 of 8,34 of 106,13 of 17,5 of 11
1802,Submission,1,2:21,W,Amanda Ribas,0,6 of 7,85%,13 of 15,1 of 1,100%,1,0,1:08,1 of 1,4 of 5,1 of 1,3 of 4,3 of 3,0 of 0,L,Paige VanZant,0,3 of 5,60%,4 of 6,0 of 0,---,0,0,0:32,1 of 1,0 of 1,2 of 3,3 of 4,0 of 1,0 of 0
1803,Decision - Unanimous,3,15:00,W,Amanda Ribas,0,85 of 159,53%,173 of 254,1 of 3,33%,2,1,7:25,57 of 125,18 of 24,10 of 10,45 of 111,8 of 9,32 of 39,L,Randa Markos,0,36 of 77,46%,56 of 99,1 of 1,100%,0,0,1:00,22 of 58,3 of 7,11 of 12,33 of 74,3 of 3,0 of 0
1804,Decision - Unanimous,3,15:00,W,Amanda Ribas,0,74 of 206,35%,84 of 216,2 of 2,100%,0,0,1:46,40 of 163,21 of 28,13 of 15,72 of 203,0 of 0,2 of 3,L,Mackenzie Dern,0,20 of 145,13%,50 of 175,0 of 6,0%,0,0,0:02,16 of 135,3 of 8,1 of 2,19 of 144,0 of 0,1 of 1
1805,Submission,2,7:10,W,Amanda Ribas,0,21 of 41,51%,67 of 92,2 of 5,40%,2,0,4:32,16 of 35,4 of 5,1 of 1,10 of 22,4 of 5,7 of 14,L,Emily Whitmire,0,7 of 25,28%,18 of 37,0 of 0,---,0,1,1:34,4 of 21,3 of 4,0 of 0,4 of 21,2 of 2,1 of 2
1806,Decision - Unanimous,3,15:00,W,Tecia Torres,0,74 of 160,46%,111 of 199,0 of 3,0%,0,0,2:09,42 of 127,21 of 22,11 of 11,55 of 136,17 of 21,2 of 3,L,Brianna Van Buren,0,34 of 68,50%,37 of 71,2 of 7,28%,0,0,4:34,9 of 40,21 of 22,4 of 6,18 of 51,16 of 17,0 of 0
1807,Decision - Unanimous,3,15:00,L,Tecia Torres,0,41 of 108,37%,58 of 126,0 of 7,0%,0,0,1:28,17 of 70,17 of 26,7 of 12,29 of 89,12 of 19,0 of 0,W,Marina Rodriguez,0,84 of 167,50%,98 of 186,1 of 4,25%,1,0,2:24,31 of 91,36 of 51,17 of 25,44 of 123,39 of 43,1 of 1
1808,Decision - Unanimous,3,15:00,L,Tecia Torres,0,30 of 62,48%,33 of 65,0 of 1,0%,0,0,1:08,14 of 41,5 of 7,11 of 14,25 of 54,2 of 3,3 of 5,W,Zhang Weili,0,63 of 142,44%,118 of 204,2 of 8,25%,0,1,4:40,29 of 76,6 of 21,28 of 45,43 of 117,6 of 8,14 of 17
1809,Decision - Unanimous,3,15:00,L,Tecia Torres,0,33 of 78,42%,54 of 100,0 of 10,0%,0,0,4:43,11 of 44,2 of 2,20 of 32,29 of 73,4 of 5,0 of 0,W,Joanna Jedrzejczyk,0,62 of 166,37%,81 of 185,0 of 0,---,0,0,2:15,21 of 113,27 of 38,14 of 15,40 of 134,22 of 32,0 of 0
1810,Decision - Unanimous,3,15:00,L,Tecia Torres,0,69 of 150,46%,88 of 171,2 of 2,100%,0,0,0:23,54 of 132,6 of 9,9 of 9,61 of 133,5 of 13,3 of 4,W,Jessica Andrade,0,92 of 178,51%,151 of 237,10 of 12,83%,0,1,7:15,46 of 124,43 of 50,3 of 4,37 of 113,17 of 26,38 of 39
